"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_COUNTRY","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME",
0.00,10920,"CDG","FR",11618,"EWR","Newark, NJ",
0.00,10920,"CDG","FR",13244,"MEM","Memphis, TN",
0.00,10970,"CGN","DE",13244,"MEM","Memphis, TN",
0.00,11760,"FRA","DE",13244,"MEM","Memphis, TN",
0.00,12339,"IND","US",10920,"CDG","Paris, France",
0.00,12339,"IND","US",15018,"STN","London, United Kingdom",
0.00,12957,"LGG","BE",13244,"MEM","Memphis, TN",
0.00,13244,"MEM","US",10920,"CDG","Paris, France",
0.00,13244,"MEM","US",10970,"CGN","Cologne, Germany",
0.00,13244,"MEM","US",11455,"DXB","Dubai, United Arab Emirates",
0.00,13244,"MEM","US",15018,"STN","London, United Kingdom",
0.00,13560,"MXP","IT",13244,"MEM","Memphis, TN",
0.00,15018,"STN","GB",12339,"IND","Indianapolis, IN",
0.00,15018,"STN","GB",13244,"MEM","Memphis, TN",
0.00,10299,"ANC","US",10877,"CAN","Guangzhou, China",
0.00,10299,"ANC","US",12143,"HKG","Hong Kong, Hong Kong",
0.00,10299,"ANC","US",12277,"ICN","Seoul, South Korea",
0.00,10299,"ANC","US",12699,"KIX","Osaka, Japan",
0.00,10299,"ANC","US",13744,"NRT","Tokyo, Japan",
0.00,10299,"ANC","US",14309,"PVG","Shanghai, China",
0.00,10299,"ANC","US",15306,"TPE","Taipei, Taiwan",
0.00,10877,"CAN","CN",10299,"ANC","Anchorage, AK",
0.00,12016,"GUM","US",14309,"PVG","Shanghai, China",
0.00,12143,"HKG","HK",10299,"ANC","Anchorage, AK",
0.00,12143,"HKG","HK",13244,"MEM","Memphis, TN",
0.00,12173,"HNL","US",10244,"AKL","Auckland, New Zealand",
0.00,12173,"HNL","US",15092,"SYD","Sydney, Australia",
0.00,12277,"ICN","KR",10299,"ANC","Anchorage, AK",
0.00,12699,"KIX","JP",10299,"ANC","Anchorage, AK",
0.00,12699,"KIX","JP",12339,"IND","Indianapolis, IN",
0.00,12699,"KIX","JP",13244,"MEM","Memphis, TN",
0.00,12699,"KIX","JP",13796,"OAK","Oakland, CA",
0.00,13244,"MEM","US",12277,"ICN","Seoul, South Korea",
0.00,13244,"MEM","US",13744,"NRT","Tokyo, Japan",
0.00,13744,"NRT","JP",10299,"ANC","Anchorage, AK",
0.00,13744,"NRT","JP",13930,"ORD","Chicago, IL",
0.00,13796,"OAK","US",13744,"NRT","Tokyo, Japan",
0.00,14309,"PVG","CN",10299,"ANC","Anchorage, AK",
0.00,14309,"PVG","CN",12892,"LAX","Los Angeles, CA",
0.00,14309,"PVG","CN",13244,"MEM","Memphis, TN",
0.00,14309,"PVG","CN",13796,"OAK","Oakland, CA",
0.00,15092,"SYD","AU",12173,"HNL","Honolulu, HI",
0.00,15092,"SYD","AU",12892,"LAX","Los Angeles, CA",
0.00,15306,"TPE","TW",10299,"ANC","Anchorage, AK",
0.00,16078,"YHM","CA",14730,"SDF","Louisville, KY",
0.00,16252,"YXU","CA",13061,"LRD","Laredo, TX",
0.00,10638,"BJX","MX",15153,"TCL","Tuscaloosa, AL",
0.00,10732,"BQN","US",14739,"SDQ","Santo Domingo, Dominican Republic",
0.00,11032,"CUN","MX",13303,"MIA","Miami, FL",
0.00,11187,"CUU","MX",11540,"ELP","El Paso, TX",
0.00,11540,"ELP","US",11187,"CUU","Chihuahua, Mexico",
0.00,11868,"GCM","KY",13303,"MIA","Miami, FL",
0.00,12010,"GUA","GT",13303,"MIA","Miami, FL",
0.00,13303,"MIA","US",11032,"CUN","Cancun, Mexico",
0.00,13303,"MIA","US",11868,"GCM","Grand Cayman, Cayman Islands",
0.00,13303,"MIA","US",12010,"GUA","Guatemala City, Guatemala",
0.00,13303,"MIA","US",13306,"MID","Merida, Mexico",
0.00,13303,"MIA","US",14681,"SAP","San Pedro Sula, Honduras",
0.00,13306,"MID","MX",13303,"MIA","Miami, FL",
0.00,16477,"QRO","MX",11871,"GDC","Greenville, SC",
0.00,16477,"QRO","MX",15153,"TCL","Tuscaloosa, AL",
0.00,14681,"SAP","HN",13303,"MIA","Miami, FL",
0.00,14739,"SDQ","DO",10732,"BQN","Aguadilla, PR",
0.00,14879,"SLP","MX",15153,"TCL","Tuscaloosa, AL",
0.00,16091,"YIP","US",13514,"MTY","Monterrey, Mexico",
0.00,16091,"YIP","US",14886,"SLW","Saltillo, Mexico",
0.00,10411,"AUA","AW",13303,"MIA","Miami, FL",
0.00,13303,"MIA","US",10411,"AUA","Aruba, Aruba",
0.00,13303,"MIA","US",14849,"SKB","St. Kitts, Saint Kitts and Nevis",
0.00,13485,"MSN","US",16271,"YYZ","Toronto, Canada",
0.00,14122,"PIT","US",14312,"PVR","Puerto Vallarta, Mexico",
0.00,14312,"PVR","MX",14107,"PHX","Phoenix, AZ",
0.00,14492,"RDU","US",12193,"HOW","Balboa, Panama",
0.00,14711,"SCE","US",16271,"YYZ","Toronto, Canada",
0.00,14849,"SKB","KN",13303,"MIA","Miami, FL",
0.00,14918,"SNN","IE",14259,"PSM","Portsmouth, NH",
0.00,15027,"STX","US",14849,"SKB","St. Kitts, Saint Kitts and Nevis",
0.00,16271,"YYZ","CA",14307,"PVD","Providence, RI",
0.00,16271,"YYZ","CA",14492,"RDU","Raleigh/Durham, NC",
0.00,10559,"BFI","US",16263,"YYJ","Victoria, Canada",
0.00,11588,"ESD","US",16263,"YYJ","Victoria, Canada",
0.00,12652,"KEH","US",16229,"YVR","Vancouver, Canada",
0.00,12652,"KEH","US",16233,"YWH","Victoria, Canada",
0.00,12652,"KEH","US",16310,"ZNA","Nanaimo, Canada",
0.00,16016,"YCD","CA",10559,"BFI","Seattle, WA",
0.00,16233,"YWH","CA",11646,"FBS","Friday Harbor, WA",
0.00,10299,"ANC","US",13692,"NKG","Nanjing, China",
0.00,13692,"NKG","CN",10299,"ANC","Anchorage, AK",
0.00,10292,"AMS","NL",12478,"JFK","New York, NY",
0.00,10299,"ANC","US",16593,"HFE","Hefei, China",
0.00,10299,"ANC","US",12143,"HKG","Hong Kong, Hong Kong",
0.00,10299,"ANC","US",13658,"NGB","Ningbo, China",
0.00,10299,"ANC","US",15127,"TAO","Qingdao, China",
0.00,10397,"ATL","US",12395,"IST","Istanbul, Turkey",
0.00,10711,"BOG","CO",13303,"MIA","Miami, FL",
0.00,10752,"BRU","BE",11193,"CVG","Cincinnati, OH",
0.00,10856,"BZZ","GB",13930,"ORD","Chicago, IL",
0.00,11193,"CVG","US",10480,"BAH","Manama, Bahrain",
0.00,11193,"CVG","US",10752,"BRU","Brussels, Belgium",
0.00,11193,"CVG","US",12277,"ICN","Seoul, South Korea",
0.00,11193,"CVG","US",12938,"LEJ","Leipzig, Germany",
0.00,11193,"CVG","US",13694,"NGO","Nagoya, Japan",
0.00,16593,"HFE","CN",10299,"ANC","Anchorage, AK",
0.00,12143,"HKG","HK",10299,"ANC","Anchorage, AK",
0.00,12266,"IAH","US",12395,"IST","Istanbul, Turkey",
0.00,12395,"IST","TR",12478,"JFK","New York, NY",
0.00,12395,"IST","TR",13303,"MIA","Miami, FL",
0.00,12478,"JFK","US",12395,"IST","Istanbul, Turkey",
0.00,12478,"JFK","US",16171,"YQM","Moncton, Canada",
0.00,12938,"LEJ","DE",11193,"CVG","Cincinnati, OH",
0.00,13218,"MDE","CO",13303,"MIA","Miami, FL",
0.00,13303,"MIA","US",10711,"BOG","Bogota, Colombia",
0.00,13303,"MIA","US",13218,"MDE","Medellin, Colombia",
0.00,13303,"MIA","US",14717,"SCL","Santiago, Chile",
0.00,13658,"NGB","CN",10299,"ANC","Anchorage, AK",
0.00,13930,"ORD","US",12395,"IST","Istanbul, Turkey",
0.00,13930,"ORD","US",16171,"YQM","Moncton, Canada",
0.00,14309,"PVG","CN",10299,"ANC","Anchorage, AK",
0.00,14717,"SCL","CL",13303,"MIA","Miami, FL",
0.00,14918,"SNN","IE",10397,"ATL","Atlanta, GA",
0.00,14918,"SNN","IE",12478,"JFK","New York, NY",
0.00,14918,"SNN","IE",13930,"ORD","Chicago, IL",
0.00,16171,"YQM","CA",10299,"ANC","Anchorage, AK",
0.00,10299,"ANC","US",12143,"HKG","Hong Kong, Hong Kong",
0.00,10299,"ANC","US",12277,"ICN","Seoul, South Korea",
0.00,10299,"ANC","US",13744,"NRT","Tokyo, Japan",
0.00,10711,"BOG","CO",13303,"MIA","Miami, FL",
0.00,10856,"BZZ","GB",13087,"LSV","Las Vegas, NV",
0.00,11351,"DNA","JP",12892,"LAX","Los Angeles, CA",
0.00,11375,"DOV","US",12125,"HHN","Hahn, Germany",
0.00,11375,"DOV","US",12957,"LGG","Liege, Belgium",
0.00,12143,"HKG","HK",10299,"ANC","Anchorage, AK",
0.00,12173,"HNL","US",13856,"OKO","Tokyo, Japan",
0.00,12277,"ICN","KR",10299,"ANC","Anchorage, AK",
0.00,12338,"INC","CN",10299,"ANC","Anchorage, AK",
0.00,12892,"LAX","US",12143,"HKG","Hong Kong, Hong Kong",
0.00,12957,"LGG","BE",10299,"ANC","Anchorage, AK",
0.00,12957,"LGG","BE",12266,"IAH","Houston, TX",
0.00,13303,"MIA","US",10711,"BOG","Bogota, Colombia",
0.00,13303,"MIA","US",10856,"BZZ","Brize Norton, United Kingdom",
0.00,13303,"MIA","US",11052,"CLO","Cali, Colombia",
0.00,13303,"MIA","US",13928,"ORB","Orebro, Sweden",
0.00,13303,"MIA","US",15455,"UIO","Quito, Ecuador",
0.00,13744,"NRT","JP",10299,"ANC","Anchorage, AK",
0.00,15422,"UAM","US",13744,"NRT","Tokyo, Japan",
0.00,15455,"UIO","EC",13303,"MIA","Miami, FL",
0.00,10638,"BJX","MX",13061,"LRD","Laredo, TX",
0.00,10911,"CCS","VE",13303,"MIA","Miami, FL",
0.00,13061,"LRD","US",14886,"SLW","Saltillo, Mexico",
0.00,13169,"MAR","VE",13303,"MIA","Miami, FL",
0.00,13303,"MIA","US",10911,"CCS","Caracas, Venezuela",
0.00,13303,"MIA","US",14012,"PAP","Port-au-Prince, Haiti",
0.00,14012,"PAP","HT",13303,"MIA","Miami, FL",
0.00,16477,"QRO","MX",13061,"LRD","Laredo, TX",
0.00,16477,"QRO","MX",14814,"SHV","Shreveport, LA",
0.00,16477,"QRO","MX",16091,"YIP","Detroit, MI",
0.00,14814,"SHV","US",14022,"PBC","Puebla, Mexico",
0.00,16091,"YIP","US",14022,"PBC","Puebla, Mexico",
0.00,16252,"YXU","CA",13061,"LRD","Laredo, TX",
0.00,10165,"ADK","US",11170,"CTS","Sapporo, Japan",
0.00,10299,"ANC","US",16273,"YZF","Yellowknife, Canada",
0.00,11170,"CTS","JP",14955,"SPN","Saipan, TT",
0.00,13694,"NGO","JP",10299,"ANC","Anchorage, AK",
0.00,14955,"SPN","US",13694,"NGO","Nagoya, Japan",
0.00,16273,"YZF","CA",10299,"ANC","Anchorage, AK",
0.00,10519,"BCT","US",13289,"MHH","Marsh Harbour, The Bahamas",
0.00,11697,"FLL","US",13289,"MHH","Marsh Harbour, The Bahamas",
0.00,11697,"FLL","US",13605,"NAS","Nassau, The Bahamas",
0.00,13289,"MHH","BS",14027,"PBI","West Palm Beach/Palm Beach, FL",
0.00,13461,"MQY","US",11907,"GGT","Moss Town, The Bahamas",
0.00,13898,"OPF","US",13289,"MHH","Marsh Harbour, The Bahamas",
0.00,13898,"OPF","US",13605,"NAS","Nassau, The Bahamas",
0.00,14843,"SJU","US",15084,"SXM","Philipsburg, Sint Maarten",
0.00,15167,"TEB","US",10444,"AXA","The Valley, Anguilla",
0.00,10312,"ANU","AG",13303,"MIA","Miami, FL",
0.00,10575,"BGI","BB",13303,"MIA","Miami, FL",
0.00,10575,"BGI","BB",14843,"SJU","San Juan, PR",
0.00,10711,"BOG","CO",13303,"MIA","Miami, FL",
0.00,11888,"GEO","GY",13303,"MIA","Miami, FL",
0.00,11950,"GND","GD",13303,"MIA","Miami, FL",
0.00,12693,"KIN","JM",13303,"MIA","Miami, FL",
0.00,13169,"MAR","VE",13303,"MIA","Miami, FL",
0.00,13218,"MDE","CO",13303,"MIA","Miami, FL",
0.00,13252,"MEX","MX",13303,"MIA","Miami, FL",
0.00,13269,"MGA","NI",13303,"MIA","Miami, FL",
0.00,13303,"MIA","US",10312,"ANU","St. Johns, Antigua and Barbuda",
0.00,13303,"MIA","US",10411,"AUA","Aruba, Aruba",
0.00,13303,"MIA","US",10575,"BGI","Barbados/Bridgetown, Barbados",
0.00,13303,"MIA","US",10711,"BOG","Bogota, Colombia",
0.00,13303,"MIA","US",10846,"BZE","Belize City, Belize",
0.00,13303,"MIA","US",11032,"CUN","Cancun, Mexico",
0.00,13303,"MIA","US",11185,"CUR","Willemstad, Curacao",
0.00,13303,"MIA","US",11654,"FDF","Fort de France, Martinique",
0.00,13303,"MIA","US",11888,"GEO","Georgetown, Guyana",
0.00,13303,"MIA","US",12010,"GUA","Guatemala City, Guatemala",
0.00,13303,"MIA","US",12693,"KIN","Kingston, Jamaica",
0.00,13303,"MIA","US",13169,"MAR","Maracaibo, Venezuela",
0.00,13303,"MIA","US",13218,"MDE","Medellin, Colombia",
0.00,13303,"MIA","US",13252,"MEX","Mexico City, Mexico",
0.00,13303,"MIA","US",13269,"MGA","Managua, Nicaragua",
0.00,13303,"MIA","US",13306,"MID","Merida, Mexico",
0.00,13303,"MIA","US",14012,"PAP","Port-au-Prince, Haiti",
0.00,13303,"MIA","US",14210,"POS","Port of Spain, Trinidad and Tobago",
0.00,13303,"MIA","US",14278,"PTP","Pointe A Pitre, Guadeloupe",
